% ground data set
@relation ground
@attribute H real
@attribute S real
@attribute V real
@attribute class {0, 1}
@data
0.264957, 0.717791, 0.639216, 1
0.439394, 0.250000, 0.172549, 1
0.233333, 0.416667, 0.235294, 0
0.234127, 0.545455, 0.301961, 1
0.294118, 0.326923, 0.203922, 0
0.043011, 0.430556, 0.282353, 0
0.256173, 0.556701, 0.380392, 0
0.325000, 0.338983, 0.231373, 1
0.274011, 0.551402, 0.419608, 0
0.267241, 0.610526, 0.372549, 0
0.266667, 0.550000, 0.392157, 1
0.016667, 0.609756, 0.321569, 0
0.422222, 0.319149, 0.184314, 1
0.277778, 0.461538, 0.305882, 0
0.315789, 0.311475, 0.239216, 1
0.144444, 0.288462, 0.203922, 0
0.272727, 0.471429, 0.274510, 1
0.351852, 0.321429, 0.219608, 1
0.384615, 0.276596, 0.184314, 1
0.410256, 0.288889, 0.176471, 1
0.371693, 0.688525, 0.717647, 1
0.246377, 0.610619, 0.443137, 1
0.407407, 0.243243, 0.145098, 1
0.271739, 0.353846, 0.509804, 1
0.271318, 0.494253, 0.341176, 0
0.277778, 0.581633, 0.384314, 1
0.833333, 0.029289, 0.937255, 1
0.242424, 0.515625, 0.250980, 0
0.236111, 0.400000, 0.235294, 1
0.227083, 0.601504, 0.521569, 1
0.361111, 0.244898, 0.192157, 1
0.270833, 0.549020, 0.400000, 0
0.604167, 0.228571, 0.137255, 1
0.271739, 0.511111, 0.352941, 0
0.263441, 0.579439, 0.419608, 0
0.263682, 0.598214, 0.439216, 0
0.275000, 0.344828, 0.227451, 1
0.246667, 0.568182, 0.345098, 1
0.259259, 0.540000, 0.392157, 0
0.316092, 0.408451, 0.278431, 1
0.234694, 0.583333, 0.329412, 0
0.166667, 0.480000, 0.196078, 1
0.395062, 0.435484, 0.243137, 1
0.263158, 0.553398, 0.403922, 0
0.266667, 0.568182, 0.345098, 0
0.271318, 0.494253, 0.341176, 0
0.401515, 0.415094, 0.207843, 1
0.185714, 0.522388, 0.262745, 1
0.255556, 0.277778, 0.211765, 1
0.996667, 0.632911, 0.309804, 1
0.016129, 0.476923, 0.254902, 1
0.571429, 0.205882, 0.133333, 1
0.263889, 0.545455, 0.345098, 0
0.384615, 0.265306, 0.192157, 1
0.410256, 0.288889, 0.176471, 1
0.458333, 0.114286, 0.137255, 1
0.294118, 0.309091, 0.215686, 1
0.638889, 0.162162, 0.145098, 1
0.294574, 0.477778, 0.352941, 0
0.500000, 0.166667, 0.141176, 1
0.265027, 0.575472, 0.415686, 0
0.271739, 0.528736, 0.341176, 0
0.261111, 0.594059, 0.396078, 0
0.265027, 0.570093, 0.419608, 0
0.371795, 0.245283, 0.207843, 1
0.268519, 0.455696, 0.309804, 0
0.571429, 0.175000, 0.156863, 1
0.267361, 0.533333, 0.352941, 0
0.270492, 0.559633, 0.427451, 0
0.700000, 0.138889, 0.141176, 1
0.171875, 0.500000, 0.250980, 1
0.269231, 0.382353, 0.266667, 0
0.291667, 0.300000, 0.313725, 1
0.805556, 0.166667, 0.141176, 1
0.271739, 0.505495, 0.356863, 0
0.298246, 0.306452, 0.243137, 0
0.271318, 0.494253, 0.341176, 0
0.975610, 0.569444, 0.282353, 1
0.500000, 0.153846, 0.152941, 1
0.280000, 0.531915, 0.368627, 0
0.264286, 0.603448, 0.454902, 0
0.172043, 0.508197, 0.239216, 1
0.265027, 0.580952, 0.411765, 0
0.322222, 0.312500, 0.188235, 1
0.080556, 0.606061, 0.388235, 0
